Counts,TimeDiff2
100000,0:00:01.110512
200000,0:00:01.332726
300000,0:00:00.949196
400000,0:00:01.173742
500000,0:00:01.089963
600000,0:00:00.737348
700000,0:00:00.748376
800000,0:00:00.992630
900000,0:00:00.748424
1000000,0:00:00.812618
1100000,0:00:00.774314
1200000,0:00:00.803189
1300000,0:00:00.943254
1400000,0:00:00.727867
1500000,0:00:00.924742
1600000,0:00:00.846301
1700000,0:00:00.733778
1800000,0:00:00.794604
1900000,0:00:00.908591
2000000,0:00:00.908459
2100000,0:00:00.795598
2200000,0:00:00.914195
2300000,0:00:00.842651
2400000,0:00:01.226083
2500000,0:00:00.997334
2600000,0:00:00.812223
2700000,0:00:00.737518
2800000,0:00:00.799508
2900000,0:00:00.792846
3000000,0:00:00.891555
3100000,0:00:00.796861
3200000,0:00:00.808584
3300000,0:00:00.783534
3400000,0:00:00.873004
3500000,0:00:00.979872
3600000,0:00:00.780699
3700000,0:00:00.839111
3800000,0:00:00.788304
3900000,0:00:00.775717
4000000,0:00:00.802346
4100000,0:00:00.867488
4200000,0:00:00.784898
4300000,0:00:00.783491
4400000,0:00:00.922383
4500000,0:00:00.927215
4600000,0:00:00.818831
4700000,0:00:00.955649
4800000,0:00:00.943361
4900000,0:00:00.790485
5000000,0:00:00.784226
5100000,0:00:00.795785
5200000,0:00:00.872593
5300000,0:00:00.913145
5400000,0:00:00.726287
5500000,0:00:00.775702
5600000,0:00:00.757222
5700000,0:00:00.786172
5800000,0:00:00.791101
5900000,0:00:00.821993
6000000,0:00:01.088517
6100000,0:00:00.789633
6200000,0:00:00.735430
6300000,0:00:00.812325
6400000,0:00:00.787161
6500000,0:00:00.790841
6600000,0:00:00.829538
6700000,0:00:00.820901
6800000,0:00:00.803098
6900000,0:00:00.817725
7000000,0:00:00.824400
7100000,0:00:01.002905
7200000,0:00:00.758520
7300000,0:00:00.968504
7400000,0:00:00.840259
7500000,0:00:01.048932
7600000,0:00:00.926941
7700000,0:00:00.836153
7800000,0:00:01.003999
7900000,0:00:00.734186
8000000,0:00:00.846223
8100000,0:00:00.950600
8200000,0:00:01.043445
8300000,0:00:00.837874
8400000,0:00:00.897192
8500000,0:00:01.024393
8600000,0:00:01.099874
8700000,0:00:00.756651
8800000,0:00:00.767546
8900000,0:00:00.973654
9000000,0:00:01.262245
9100000,0:00:00.841174
9200000,0:00:00.951377
9300000,0:00:00.948974
9400000,0:00:00.804108
9500000,0:00:00.860912
9600000,0:00:01.061512
9700000,0:00:00.827369
9800000,0:00:00.855377
9900000,0:00:00.880624
10000000,0:00:00.790978
10100000,0:00:00.784101
10200000,0:00:00.971000
10300000,0:00:00.763410
10400000,0:00:00.807619
10500000,0:00:01.091183
10600000,0:00:01.067337
10700000,0:00:01.008600
10800000,0:00:00.727515
10900000,0:00:00.885350
11000000,0:00:00.773658
11100000,0:00:00.830315
11200000,0:00:00.814004
11300000,0:00:00.795114
11400000,0:00:00.770497
11500000,0:00:00.804847
11600000,0:00:00.901416
11700000,0:00:01.150473
11800000,0:00:00.824789
11900000,0:00:00.779393
12000000,0:00:00.757492
12100000,0:00:01.275089
12200000,0:00:00.783838
12300000,0:00:00.899556
12400000,0:00:00.899166
12500000,0:00:01.411959
12600000,0:00:00.784624
12700000,0:00:01.196771
12800000,0:00:00.824344
12900000,0:00:00.893069
13000000,0:00:01.229264
13100000,0:00:00.778683
13200000,0:00:00.754409
13300000,0:00:00.747532
13400000,0:00:01.120060
13500000,0:00:00.901715
13600000,0:00:00.797874
