filename,count,start,end,duration
2024-04-02-papers0,100000,2024-04-19 13:01:48.615334,2024-04-19 13:01:52.480080,0:00:03.864746
2024-04-02-papers1,200000,2024-04-19 13:01:57.307863,2024-04-19 13:02:00.802843,0:00:03.494980
2024-04-02-papers2,300000,2024-04-19 13:02:06.818864,2024-04-19 13:02:10.196875,0:00:03.378011
2024-04-02-papers3,400000,2024-04-19 13:02:18.199485,2024-04-19 13:02:21.653555,0:00:03.454070
2024-04-02-papers4,500000,2024-04-19 13:02:26.594851,2024-04-19 13:02:30.149474,0:00:03.554623
2024-04-02-papers5,600000,2024-04-19 13:02:35.035768,2024-04-19 13:02:38.496024,0:00:03.460256
2024-04-02-papers6,700000,2024-04-19 13:02:43.350434,2024-04-19 13:02:46.849012,0:00:03.498578
2024-04-02-papers7,800000,2024-04-19 13:02:55.628377,2024-04-19 13:02:59.141525,0:00:03.513148
2024-04-02-papers8,900000,2024-04-19 13:03:06.912978,2024-04-19 13:03:10.350768,0:00:03.437790
2024-04-02-papers9,1000000,2024-04-19 13:03:21.607182,2024-04-19 13:03:25.317939,0:00:03.710757
